models_name,MAP,Recall@1,Recall@5,Recall@10,Recall@20,mAP@1,mAP@5,mAP@10,mAP@20
facebook/dinov3-vits16-pretrain-lvd1689m_CLS_token,30.767843737602924,38.0,56.99999999999999,65.60000000000001,77.60000000000001,38.0,25.910944444444446,25.319713750314943,26.917907339469465
facebook/dinov3-vits16plus-pretrain-lvd1689m_CLS_token,29.901572755713087,33.6,52.8,64.4,73.6,33.6,24.36605555555556,24.420306216931216,26.38404332459146
facebook/dinov3-vitb16-pretrain-lvd1689m_GeM_pooling,34.10312444272868,41.4,63.6,73.8,85.39999999999999,41.4,28.40027777777777,28.39562657470396,30.845361113236645
facebook/dinov3-vitl16-pretrain-lvd1689m_Max_pooling,34.05044282218646,40.400000000000006,59.0,69.8,80.2,40.400000000000006,28.312611111111107,28.068693027210884,30.2691700431546
geolocal/StreetCLIP_Mean_pooling,25.72532668680173,30.0,55.2,65.0,73.8,30.0,20.676777777777776,20.27521233308138,22.100758586600023
facebook/dinov3-vith16plus-pretrain-lvd1689m_GeM_pooling,36.46150222399109,44.0,64.8,73.4,82.39999999999999,44.0,31.74211111111111,31.20571038044848,33.09199197433366
facebook/dinov3-convnext-tiny-pretrain-lvd1689m_Max_pooling,21.3605847202899,26.6,45.6,55.00000000000001,67.2,26.6,16.852888888888888,16.574735575711767,17.838762132217227
openai/clip-vit-large-patch14_Mean_no_CLS,28.641709400156017,32.6,55.2,67.0,80.4,32.6,22.49922222222222,22.24424858276644,24.796536309116533
facebook/dinov3-convnext-small-pretrain-lvd1689m_GeM_pooling,17.523884309368892,20.6,41.0,52.8,60.8,20.6,12.926555555555558,13.089584372637944,14.474180601981663
openai/clip-vit-base-patch16_Mean_pooling,24.915457519005887,31.0,51.8,64.0,76.8,31.0,19.650111111111112,19.088044627110104,20.88966700653157
facebook/dinov3-convnext-base-pretrain-lvd1689m_GeM_pooling,18.57378044311541,24.6,37.2,45.4,55.60000000000001,24.6,15.236444444444446,15.022844293272865,15.831842792236886
openai/clip-vit-base-patch32_GeM_pooling,28.09776589327112,38.8,61.4,72.8,82.19999999999999,38.8,24.61805555555556,23.32702220332577,24.15371835757337
facebook/dinov3-convnext-large-pretrain-lvd1689m_Max_pooling,19.29182208593128,24.2,47.4,55.400000000000006,64.2,24.2,15.038444444444444,14.141143014613256,15.595536727838502
facebook/dinov3-vitl16-pretrain-sat493m_GeM_pooling,13.40528778269271,17.4,36.6,46.0,58.4,17.4,9.836166666666667,9.21685682791635,10.089014548606576
geolocal/StreetCLIP_GeM_pooling,25.486169526934617,32.6,55.8,66.0,74.6,32.6,21.34322222222222,20.82821189216428,22.140303636352712
/dinov3-vith16plus-pretrain-lvd1689m+clip-vit-base-patch32_GEM_pool,37.44711983492211,44.8,66.60000000000001,76.0,85.0,44.8,32.69888888888889,32.23218014613252,34.02845890379308
dinov3-vith16plus-pretrain-lvd1689m+clip-vit-base-patch32_GEM_pool,36.064026807970414,44.2,69.0,78.2,87.6,44.2,31.07727777777778,30.327589663643234,32.243885300692654
PE-Core-S16-384_CLS_token,18.81560567948437,24.8,43.6,57.2,70.0,24.8,15.576444444444446,14.279343852355758,15.055424644614693
PE-Core-B16-224_CLS_token,25.125391693854382,28.8,57.8,69.19999999999999,79.60000000000001,28.8,20.7705,20.18373441043084,21.387108149636525
PE-Core-L14-336_CLS_token,23.96265197878104,31.0,57.2,65.60000000000001,76.2,31.0,20.927777777777777,19.674642510707983,20.67949146982756
PE-Core-G14-448_CLS_token,21.67976392064332,26.200000000000003,50.2,61.4,72.2,26.200000000000003,17.47083333333333,16.900743071302593,18.26130878523661
PE-Core-T16-384_CLS_token,17.861325013589312,24.4,45.4,58.599999999999994,71.0,24.4,13.731000000000002,13.253139991181659,14.266147431534135
